time,del_u_ave,del_u_ave_old,lambda
0,0,0,0.01
1,0,0,-1.2079573452617e-13
2,0,0,-1.0000000004474
3,0,0,-1.0100000004341
4,0,0,-2.010000001697
5,0,0,-2.0200000016723
6,0,0,-3.0200000048176
7,0,0,-3.0300000047951
8,0,0,-4.0300000071902
9,0,0,-4.0400000071785
10,0,0,-5.0400000108229
11,0,0,-5.050000010764
12,0,0,-6.050000017921
13,0,0,-6.0600000178079
14,0,0,-7.0600000269883
15,0,0,-7.070000026932
16,0,0,-8.0700000326713
17,0,0,-8.0800000326452
18,0,0,-9.0800000409147
19,0,0,-9.0900000407923
20,0,0,-10.090000055014
21,0,0,-10.100000054927
22,0,0,-11.100000062505
23,0,0,-11.110000062431
24,0,0,-12.11000006478
25,0,0,-12.12000006468
26,0,0,-13.120000076745
27,0,0,-13.130000076574
28,0,0,-14.130000087359
29,0,0,-14.140000087211
30,0,0,-15.140000109849
31,0,0,-15.150000109634

