time,ave_strain_bottom,ave_stress_bottom,del_u_ave,del_u_ave_old,lambda
0,0,0,0,0,0.01
1,3.5355339059934e-15,1.8329700869447e-15,2.3336857465303e-16,0,-1.7163874488357e-13
2,3.5355340600282e-15,1.8329701822403e-15,-1.2156525928045e-24,2.3336857465303e-16,1.0000000009138
3,7.8535533996592e-14,4.0716137494251e-14,4.9504950454316e-15,-1.2156525928045e-24,0.99000000093116
4,-7.3464645027834e-12,-3.808713632526e-12,-4.9009901258157e-13,4.9504950454316e-15,1.9900000054011
5,-7.1972144999706e-12,-3.731336205253e-12,9.8514850976516e-15,-4.9009901258157e-13,1.9800000054524
6,-2.204721496845e-11,-1.1430195900563e-11,-9.801980275527e-13,9.8514850976516e-15,2.9800000133071
7,-2.1823714959126e-11,-1.1314324172167e-11,1.4752475153178e-14,-9.801980275527e-13,2.9700000133607
8,-4.4098716144354e-11,-2.2862614013435e-11,-1.4702970376725e-12,1.4752475153178e-14,3.9700000197429
9,-4.3800966126115e-11,-2.270824798235e-11,1.9653465130615e-14,-1.4702970376725e-12,3.9600000198199
10,-7.3500968429914e-11,-3.8105968209994e-11,-1.9603960506489e-12,1.9653465130615e-14,4.9600000286683

